ParlaMint-FR_2018-10-18-O1024.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-18-O1024.u640	I have before me a number of amendments, Nos 1090, 1137, 1335, 1386, 2066, 2147 and 2615, which can be discussed jointly. Amendments Nos 1090, 1137, 1335, 1386, 2066 and 2147 are identical. Mrs Lise Magnier has the floor to support Amendment No. 1090.
ParlaMint-FR_2018-10-18-O1024.u641	This amendment seeks to clarify the conditions under which TEOM's rebates are charged to communities, as provided for in Article 7. Taking this step without allowing communities, less armed than the state in this area, to face the risks of litigation, would significantly compromise the balance of local budgets as of 2019. For this reason, the question of conditions should be clarified. It is also appropriate to limit the reductions pronounced, starting from TEOM's 2019 taxation, to the sole share of TEOM that the tax judge has estimated to be surplus and thus to provide a legal basis for the partial maintenance of the tax.
ParlaMint-FR_2018-10-18-O1024.u642	I call Mr Michel Castellani to support Amendment No. 1137.
ParlaMint-FR_2018-10-18-O1024.u643	There is no need to repeat what has just been very well explained. The amendment is not allowed.
ParlaMint-FR_2018-10-18-O1024.u644	I call Mr Patrick Hetzel to support Amendment No. 1335.
ParlaMint-FR_2018-10-18-O1024.u645	We need to secure the device. On this point, we disagree with the Government. We want to trust local actors. This is the subject of this amendment.
ParlaMint-FR_2018-10-18-O1024.u646	Mrs Véronique Louwagie has the floor to support Amendment No. 1386.
ParlaMint-FR_2018-10-18-O1024.u647	Defendant.
ParlaMint-FR_2018-10-18-O1024.u648	Mr Jean-René Cazeneuve has the floor to support Amendment No. 2066.
ParlaMint-FR_2018-10-18-O1024.u649	Defendant.
ParlaMint-FR_2018-10-18-O1024.u650	Mr Jean-Louis Bricout has the floor to support Amendment No. 2147.
ParlaMint-FR_2018-10-18-O1024.u651	Defendant.
ParlaMint-FR_2018-10-18-O1024.u652	The Minister has the floor to support Amendment No. 2615 by the Government.
ParlaMint-FR_2018-10-18-O1024.u653	I call on Mr Cazeneuve to withdraw his amendment No 2066 in favour of this amendment, which is largely based on it. Opinion unfavourable to others.
ParlaMint-FR_2018-10-18-O1024.u654	Do you withdraw your amendment, Mr. Cazeneuve?
ParlaMint-FR_2018-10-18-O1024.u655	Yes, Mr. President.
ParlaMint-FR_2018-10-18-O1024.u656	What is the committee's opinion on the other amendments?
ParlaMint-FR_2018-10-18-O1024.u657	I am against limiting the relief in the event of an illegal decision of the community, as it could result in limiting the reimbursement by the territorial community of a tax unduly paid by the taxpayer, since it was found to be illegal. On the other hand, I am sensitive to your requests for information to the communities concerned. The Government responds with Amendment No. 2615, which I am therefore in favour of. Opinion against other amendments.
ParlaMint-FR_2018-10-18-O1024.u658	I have before me three identical amendments, Nos 222, 271 and 2361. Mrs Marie-Christine Dalloz has the floor to support Amendment No. 222.
ParlaMint-FR_2018-10-18-O1024.u659	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u660	Mrs Véronique Louwagie has the floor to support Amendment No. 271.
ParlaMint-FR_2018-10-18-O1024.u661	Defendant.
ParlaMint-FR_2018-10-18-O1024.u662	Mr Jean-René Cazeneuve has the floor to support Amendment No. 2361.
ParlaMint-FR_2018-10-18-O1024.u663	This precise amendment tends to avoid a retroactivity effect for local and regional authorities.
ParlaMint-FR_2018-10-18-O1024.u664	What is the committee's opinion on these amendments?
ParlaMint-FR_2018-10-18-O1024.u665	They are satisfied: it is specified in paragraph 16 of the article that this provision applies to the deliberations taken as from 1 January 2019; therefore there will be no retroactive effect. I therefore call on the authors of the amendments to withdraw them, failing which I shall express an unfavourable opinion.
ParlaMint-FR_2018-10-18-O1024.u666	What is the Government's opinion?
ParlaMint-FR_2018-10-18-O1024.u667	Same opinion.
ParlaMint-FR_2018-10-18-O1024.u668	The authors of the amendments tell me that they retain them, with the exception of Mr Cazeneuve, who withdraws his own.
ParlaMint-FR_2018-10-18-O1024.u669	I call Mr Patrick Hetzel to support Amendment No. 1061.
ParlaMint-FR_2018-10-18-O1024.u670	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u671	I have before me three identical amendments, Nos 201, 291 and 2001. Mrs Marie-Christine Dalloz has the floor to support Amendment No. 201.
ParlaMint-FR_2018-10-18-O1024.u672	He's forbidden.
ParlaMint-FR_2018-10-18-O1024.u673	Mrs Véronique Louwagie has the floor to support Amendment No. 291.
ParlaMint-FR_2018-10-18-O1024.u674	Defendant.
ParlaMint-FR_2018-10-18-O1024.u675	I call Mr Remy Rebeyrotte to support Amendment No. 2001.
ParlaMint-FR_2018-10-18-O1024.u676	Defendant.
ParlaMint-FR_2018-10-18-O1024.u677	What is the opinion of the committee?
ParlaMint-FR_2018-10-18-O1024.u678	Unfavorable.
ParlaMint-FR_2018-10-18-O1024.u679	What is the Government's opinion?
ParlaMint-FR_2018-10-18-O1024.u680	Same opinion.
ParlaMint-FR_2018-10-18-O1024.u681	I have before me three identical amendments, Nos 2227, 2016 and 2094. The rapporteur-general has the floor to support Amendment No. 2227.
ParlaMint-FR_2018-10-18-O1024.u682	I give the floor to Mrs Rossi, the author of the amendment.
ParlaMint-FR_2018-10-18-O1024.u683	You have the floor, Mrs. Rossi.
ParlaMint-FR_2018-10-18-O1024.u684	This amendment aims to reinforce the incentive provided for in Article 7 by extending the reduction in the fee, collection and rebate costs – reduced from 8% to 3% – to the first five years during which incentive pricing is implemented. The increase in the duration of the reduced rate for communities that have introduced it is a powerful incentive, as it allows for a better staggering of the costs associated with the resulting additional costs, without increasing the tax burden on taxpayers.
ParlaMint-FR_2018-10-18-O1024.u685	Mr Jean-René Cazeneuve has the floor to support Amendment No. 2016.
ParlaMint-FR_2018-10-18-O1024.u686	Defendant!
ParlaMint-FR_2018-10-18-O1024.u687	Mr Jean-Louis Bricout has the floor to support Amendment No. 2094.
ParlaMint-FR_2018-10-18-O1024.u688	He's already been perfectly defended. However, I have a subsidiary question. From what date will the revision of the management and collection fees apply to those communities that have already implemented the incentive share: starting in 2019, from the date on which they introduced it... or not at all?
ParlaMint-FR_2018-10-18-O1024.u689	This question does not fall within the scope of the amendment.
ParlaMint-FR_2018-10-18-O1024.u690	What is the Government's opinion on these amendments?
