ParlaMint-FR_2017-11-14-O1054.u1	The next item is the discussion, for final reading, of the 2017 amending finance bill (No. 379).
ParlaMint-FR_2017-11-14-O1054.u490	One MP explained that his constituency was experiencing a particular climate situation, a drought that the island had never experienced, and which continued in October, with catastrophic agricultural deserts and farmers losing everything. This Member of Parliament is asking you, Madam Minister, to find ways to grant this territory an exceptional subsidy, because of an unusual situation: drought has been going on for more than eight months! The island had never known a similar one! You answer, Madam Minister, that the appropriations concerned cannot be used. But what will the state do to help farmers in Corsica, who are losing everything? That's the question!
ParlaMint-FR_2017-11-14-O1054.u491	Mr Sebastien Jumel has the floor.
ParlaMint-FR_2017-11-14-O1054.u492	We will support this amendment. Republican fairness means that, in different situations, we can provide different answers, adapted to the specificities mentioned. However, the situation described by Mr Castellani, supported by Mr Pupponi, justifies budgetary appropriations taking into account the climatic realities of Corsica and the difficulties of its people.
ParlaMint-FR_2017-11-14-O1054.u493	Mr Jean-Paul Mattei has the floor.
ParlaMint-FR_2017-11-14-O1054.u494	Without wishing to show island solidarity, I must point out that we have seen other cases of exceptional aid, such as the drought tax. The request, which is exceptional, must be taken into account. As far as I am concerned, I will support this common sense amendment, which remedyes a truly dramatic situation for Corsican farmers.
ParlaMint-FR_2017-11-14-O1054.u495	Mr Laurent Furst has the floor.
ParlaMint-FR_2017-11-14-O1054.u496	I would like to stress the complexity of the situation in Corsica, which must manage both an important institutional reform, to which we are very attached because it is an example of what France could face tomorrow, and a large-scale climate crisis. The situation and the expectations of our citizens in Corsica justify a strong response. Full and complete listening must be given to them this evening. It is important that we support this amendment to ensure the future of this territory of the Republic.
ParlaMint-FR_2017-11-14-O1054.u497	On identical amendments Nos 1454 and 1422, I have a request from the Group of the Democratic and Republican Left for a public vote. The vote is announced in the National Assembly. The minister has the floor to conclude.
ParlaMint-FR_2017-11-14-O1054.u498	I maintain the Government's unfavorable opinion, since the amendment is being dealt with by appropriations that cannot be transferred. In addition, I would point out that exceptional aid has already been paid to Corsica, as part of the solidarity grant for the events that affected its territory in 2016.
ParlaMint-FR_2017-11-14-O1054.u499	A drought!
ParlaMint-FR_2017-11-14-O1054.u500	And in 2017, what do we do?
ParlaMint-FR_2017-11-14-O1054.u501	This is another exceptional situation!
ParlaMint-FR_2017-11-14-O1054.u502	The floor is open to Mr François Pupponi – very briefly, since you have already spoken, dear colleague.
ParlaMint-FR_2017-11-14-O1054.u503	Oh, no!
ParlaMint-FR_2017-11-14-O1054.u504	[["Oh! » on the benches of the REM group]] What do you mean, no? Don't you want to talk about it? If you're tired, go to bed! Minister, what is the government proposing today to help farmers who have been droughted for eight months? It's a simple question! What will he do in the finance bill, for what happens in 2017? If you reject the amendment, what counter-proposal do you make?
ParlaMint-FR_2017-11-14-O1054.u505	This is outrageous!
ParlaMint-FR_2017-11-14-O1054.u506	The minister has the floor.
ParlaMint-FR_2017-11-14-O1054.u507	[[Applause on the benches of the REM group]] The budget of the Ministry of the Interior does not cover aid to farmers. We will, of course, have to question the Minister of Agriculture, who will answer you.
ParlaMint-FR_2017-11-14-O1054.u508	The Corsican Council has agricultural competence!
ParlaMint-FR_2017-11-14-O1054.u509	I put to the vote identical amendments Nos 1454 and 1422.
ParlaMint-FR_2017-11-14-O1054.u510	I put to the vote the appropriations of the mission "Relationship with local and regional authorities".
ParlaMint-FR_2017-11-14-O1054.u511	We come to the sections of the bill attached to the mission. I call Mr Arnaud Viala to support Amendment No. 225.
ParlaMint-FR_2017-11-14-O1054.u512	This amendment seeks clarification of the abundance of the Value Added Tax Compensation Fund, particularly for the regions, which have acquired new economic skills. Since departments are now deprived of this competence and cannot support the dynamics of companies, the ability of the regions to assume this competence is crucial. Otherwise, the economic dynamics of entire territories would be left in disinherence. [[Applause on the benches of the LR group]] However, there is a significant shortfall in the 2018 Finance Bill: the transitional credits previously allocated to the TVCF are not renewed. The revenue will therefore not match the needs expressed by the regional councils in order to meet the demands of the enterprises and the territories, in particular intercommunal, levels of proximity which are now the entry points of the enterprises to settle and to ask for aid.
ParlaMint-FR_2017-11-14-O1054.u513	That's right!
ParlaMint-FR_2017-11-14-O1054.u514	What is the opinion of the committee?
ParlaMint-FR_2017-11-14-O1054.u515	Unfavorable opinion. Mr President, I am afraid that you will confuse the proportion of VAT paid to the regions with the EUR 5.5 billion VATF, which is the main state allocation to support the investment of local and regional authorities.
ParlaMint-FR_2017-11-14-O1054.u516	You're the one who confuses them!
ParlaMint-FR_2017-11-14-O1054.u517	This article deals with the automation of this fund, which the actors have been waiting for for a very long time. It is impossible, as you propose, to frame this fund, which is variable, by definition: it depends on the investments of the local authorities. Finally, contrary to what you said, MP, the VATF will increase by about 2% next year.
ParlaMint-FR_2017-11-14-O1054.u518	What is the Government's opinion?
ParlaMint-FR_2017-11-14-O1054.u519	Same answer, same opinion. The VAT compensation fund depends on the investment of the local authorities. One cannot imagine a decree that would settle this point. The fact that it is automated represents a facility for local and regional authorities, since they will no longer have to detail and justify their expenditure one by one in front of the clearing agencies. This is an important step forward. In addition, this fund is growing by 88 million compared to 2017.
ParlaMint-FR_2017-11-14-O1054.u520	Mr Jumel, everything has been said, but we are listening to you anyway.
ParlaMint-FR_2017-11-14-O1054.u521	[["But no! » on the benches of the REM group]] I am not sure that everything has been said about local authorities, Mr President. The majority felt that the opposition would be in bad faith and that relations with local authorities would swim in luxury, calm and voluptuousness. The meeting with the regional presidents was a very bad time for the Prime Minister.
ParlaMint-FR_2017-11-14-O1054.u522	A fiasco!
ParlaMint-FR_2017-11-14-O1054.u523	The meeting with the presidents of the departments was very cold, as the personalized allocation of autonomy asphyxiates the budgets of the departments.
